Date, Close/Last, Volume, Open, High, Low
04/29/2019, $76.91, 5398125, $77.3, $77.67, $76.59
04/26/2019, $77.45, 12549410, $76.95, $77.52, $75.06
04/25/2019, $77.11, 11016420, $76.11, $77.23, $75.95
04/24/2019, $76.39, 8247468, $76.05, $76.88, $75.91
04/23/2019, $75.99, 5273777, $75.48, $76.06, $75.41
04/22/2019, $75.4, 4882354, $75.71, $76.06, $75.21
04/18/2019, $76.06, 6606672, $75.48, $76.26, $75.21
04/17/2019, $75.12, 8500302, $75.61, $75.96, $74.8
04/16/2019, $75.7, 8336593, $76.48, $76.56, $75.365
04/15/2019, $76.16, 7632141, $76.67, $76.7, $76.08
04/12/2019, $76.65, 5193888, $76.1, $76.95, $76.07
04/11/2019, $75.87, 6042545, $75.75, $76.07, $75.65
04/10/2019, $75.48, 5889004, $75.21, $75.815, $75.21
04/09/2019, $75.12, 4904315, $74.87, $75.23, $74.8
04/08/2019, $75.2, 5140364, $74.47, $75.3, $74.47
04/05/2019, $75.03, 5346074, $74.35, $75.08, $74.35
04/04/2019, $74.35, 5449810, $74.5, $74.67, $73.98
04/03/2019, $74.33, 6687644, $74.56, $74.78, $73.87
04/02/2019, $74.27, 5514229, $74.01, $74.45, $73.84
04/01/2019, $73.96, 7976126, $74.76, $74.93, $73.73
03/29/2019, $74.34, 8972463, $74.01, $74.4801, $73.53
03/28/2019, $73.96, 6594556, $72.97, $73.98, $72.89
03/27/2019, $72.74, 7654798, $72.94, $73.26, $72.62
03/26/2019, $72.96, 7618942, $72.72, $73.19, $72.33
03/25/2019, $72.3, 6153365, $72, $72.4755, $71.73
03/22/2019, $71.96, 6888173, $72.05, $72.41, $71.69
03/21/2019, $72.26, 7980758, $71.32, $72.435, $71.32
03/20/2019, $71.63, 9507089, $71.8, $72.4, $71.34
03/19/2019, $71.38, 6883371, $70.95, $71.7, $70.87
03/18/2019, $70.84, 5643909, $70.78, $71.12, $70.4438
03/15/2019, $70.67, 13094560, $70.8, $71.21, $70.54
03/14/2019, $70.74, 8906414, $70.19, $70.885, $70.19
03/13/2019, $70.1, 13731730, $70.09, $70.9, $69.98
03/12/2019, $70.05, 12750950, $69.74, $70.58, $69.69
03/11/2019, $69.68, 11405540, $69.38, $70.005, $69.14
03/08/2019, $69.36, 12224440, $70.15, $70.27, $69.03
03/07/2019, $70.61, 7361342, $71.2, $71.36, $70.46
03/06/2019, $71.27, 7620320, $71.81, $72.18, $71.16
03/05/2019, $71.58, 10492690, $71.19, $71.89, $71.06
03/04/2019, $70.95, 9217796, $70.99, $71.35, $70.37
03/01/2019, $70.85, 8059464, $70.63, $71.11, $70.4515
02/28/2019, $70.26, 18098330, $70.14, $70.49, $69.78
02/27/2019, $70.15, 13273430, $70.83, $71.13, $69.92
02/26/2019, $71.14, 11982960, $71, $71.45, $70.92
02/25/2019, $71.05, 8223885, $71.9, $72.07, $70.98
02/22/2019, $71.3, 11311420, $70.76, $71.39, $70.75
02/21/2019, $70.7, 10861370, $70.14, $70.93, $70.14
02/20/2019, $70.39, 9626399, $70.23, $70.6, $70.05
02/19/2019, $70.2, 9204672, $70.46, $70.6, $69.78
02/15/2019, $70.71, 13883140, $71.15, $71.37, $70.1935
02/14/2019, $70.84, 9438372, $70.13, $71.54, $69.97
02/13/2019, $70.51, 10208920, $69.81, $70.6, $69.8
02/12/2019, $69.75, 8846598, $70.24, $70.46, $69.71
02/11/2019, $69.99, 9228304, $70, $70.465, $69.847
02/08/2019, $69.75, 8861797, $68.77, $69.82, $68.6
02/07/2019, $69.14, 10107900, $68.6, $69.21, $68.48
02/06/2019, $68.85, 9858533, $69.23, $69.3874, $68.5
02/05/2019, $69.34, 12780460, $67.76, $69.41, $67.64
02/04/2019, $67.58, 13547000, $68.03, $68.11, $67.08
02/01/2019, $68.11, 10306100, $68.59, $69.315, $68
01/31/2019, $68.14, 24060540, $68.18, $69.49, $67.08
01/30/2019, $68.15, 11670240, $67.11, $68.21, $67.05
01/29/2019, $67.04, 10696490, $67, $67.5, $66.2
